ACollectionHelperTest#testFlatten	assertEquals(5,flattened.size());
AboutTest#testGetExtensions	assertNotNull(actual);
ActivityDefinitionTest#testSetChoices	assertNotNull(actual);
ActivityDefinitionTest#testSetTarget	assertNotNull(actual);
ActivityDefinitionTest#testSetType	assertNotNull(actual);
ActivityTest#testGetObjectType	assertNotNull(actual);
AlterPropertyTest#testRemoveLinkedClass	assertNotNull(prop.getLinkedClass());
BaseThreadStateTest#randomInt_withBound	assertTrue(value>=0);
CollectorsTest#toLinkedHashSet	assertEquals(expected,Arrays.asList(1,2,3).stream().collect(Collectors.toLinkedHashSet()));
ContentActivitiesTest#testSetCategory	assertNotNull(actual);
CookieIntegrationTest#testCookieSentBackToClient	assertEquals(1,cookies.getCookies().size());
CookieTest#testCookieWithExpiresString	assertTrue(cookie.getHTTPHeader().contains(expiresString));
CreateClassMultipleClusterTest#testCreateClassSQLSpecifiedClusters	assertEquals(2,clazzV.getClusterIds().length);
DevUtilTest#testCleanTargetDir	assertTrue(tempClass.exists());
DevUtilTest#testCleanupServerEnvBak	assertTrue(serverEnv.exists());
DevUtilTest#testCopyFile	assertTrue(targetFile.exists());
Draft_6455Test#testGetExtension	assertNotNull(draft_6455.getExtension());
ExcelSheetToCodeList04Test#testReadExcel	assertTrue(aXls.exists());
ExcelSheetToCodeList10Test#testReadExcel	assertTrue(aXls.exists());
FloatSerializerTest#testSerializeNative	assertEquals(v,OBJECT);
GroupTest#testSetMember	assertNotNull(actual);
ImageStreamServiceTest#should_return_newer_tag	assertEquals(latestTag,resultedTag);
InMemoryJavaCompilerTest#compile_WhenIgnoreWarnings	assertEquals(0,res.size());
JolokiaConnectionTest#testGetSetLogger	assertNotNull(this.jolokiaConnection.getLog());
KindAndNameTest#equalsTest	assertTrue(kindAndName.equals(kindAndName));
MapUtilTest#testPutIfAbsent	assertEquals(1,map.size());
MorphologyTest#ceļu	assertTrue(ceļu.isRecognized());
MorphologyTest#gunta19dec_3	assertTrue(vārds.isRecognized());
MorphologyTest#jāmāk	assertTrue(jāmāk.isRecognized());
MorphologyTest#laura_20130605	assertTrue(viņš.isRecognized());
MorphologyTest#lūzīs	assertTrue(lūzīs.isRecognized());
OAuth2FeignRequestInterceptorTests#applyAuthorizationHeader	assertTrue(headers.containsKey("STR"));
OClassImplTest#testCreateNoLinkedClass	assertNotNull(oClass.getProperty("STR"));
OCommandExecutorSQLCreatePropertyTest#testLinkedTypeDefaultAndMinMaxUnsafeProperty	assertEquals(idProperty.getName(),PROP_ID);
OCommandExecutorSQLCreatePropertyTest#testNonStrict	assertEquals(idProperty.getName(),PROP_ID);
OCommandExecutorSQLSelectTest#testLimitMinusOneOrdered	assertEquals(26,results.size());
ODatabaseDocumentTxTest#testReturnDeclaredIntent	assertNotNull(db.getActiveIntent());
ODirtyManagerTest#testLink	assertEquals(2,manager.getNewRecords().size());
ODocumentSchemalessBinarySerializationTest#testFieldNamesRaw	assertNotNull(fields);
ODocumentTrackingNestedCollectionsTest#testChangesValuesNestedTrackingSet	assertEquals(1,timeLine.getMultiValueChangeEvents().size());
OETLCSVExtractorTest#testFloat	assertFalse(res.isEmpty());
OETLCSVExtractorTest#testNegativeFloat	assertFalse(res.isEmpty());
OLuceneManualIndexTest#shouldCreateManualIndexWithJavaApi	assertEquals(index.getSize(),4);
OMatchStatementExecutionTest#testMaxDepthArrow	assertEquals(2,qResult.size());
OPropertyIndexDefinitionTest#testGetTypes	assertEquals(result.length,1);
OPropertyListIndexDefinitionTest#testProcessChangeEventAddTwoTimesInvValue	assertEquals(keysToAdd,addedKeys);
OSQLFunctionAbsoluteValueTest#testPositiveBigDecimal	assertTrue(resultinstanceofBigDecimal);
PersonTest#testGetMbox_sha1sum	assertNotNull(actual);
ProcessorConfigTest#inc	assertTrue(contains(filtered,"STR"));
ProfileUtilTest#multiple	assertNotNull(is);
PropertyBindingSupport_bind0_NumericalTest#bind_Double	assertTrue(bind0(testObject,"STR","STR"));
PuzzleTest#puzzle_has_blank	assertEquals(8,p.getBlankIndex());
RavenAppenderFactoryTest#hasValidDefaults	assertNull(factory.getDsn());
ReflexUtilTest#testGetInstance	assertEquals(21,obj.getAge());
ReflexUtilTest#testIntefaceGenericTypeClass	assertArrayEquals(clazz,exp);
ResultTest#testGetDuration	assertNotNull(actual);
ShippableTest#testGetEnvironment	assertEquals(5,properties.size());
SimulatorPropertiesTest#testGetCoordinatorPort	assertEquals(0,simulatorProperties.getCoordinatorPort());
StatementTest#testGetId	assertNotNull(actual);
StatementTest#testToString	assertNotNull(actual);
SubStatementTest#testGetTimestamp	assertNotNull(actual);
SystemLoggerTest#defaults_to_WARN_when_unknown_log_level_is_set	assertEquals(Logger.Level.WARN,logger.level);
SystemLoggerTest#is_info_level_by_default	assertEquals(Logger.Level.INFO,logger.level);
TestNanolets#testProvidedPriorityRoutePrioritizerNullHandler	assertEquals(0,routePrioritizer.getPrioritizedRoutes().size());
TrackedListTest#testAddAllNotificationThree	assertFalse(doc.isDirty());
VerbTest#testSetDisplay	assertNotNull(actual);
VerbsTest#testImported	assertNotNull(actual);
WorkerProcessManagerTest#testUpdateLastSeenTimestamp_whenSimulatorAddressFromWorker_thenUpdate	assertNotEquals(firstLastSeen,workerProcess1.getLastSeen());
YubicoClientTest#testGoodAndBadUrls	assertEquals(ResponseStatus.REPLAYED_OTP,response.getStatus());
Yuv444jToYuv420jTest#testEvenEven	assertNotNull(transform);
